statement,label,domain,source,correction
World Health Organization wants to BAN all women aged 18-50 from drinking alcohol.,1.0,politics,politifact,
"Says when he was governor, Wisconsin cut unemployment to 2.1 percent and the state's unemployment rate was ""the lowest in the country for 40 consecutive months.",1.0,politics,politifact,
"Lady Gaga announced she would cover her face ""until Trump gets fired from office.",0.0,politics,politifact,
Photo shows former President Donald Trump detained by police.,1.0,politics,politifact,
"Says ""Scott Baio .. dies in small plane crash.",0.0,politics,politifact,
"The president has been very clear. All forms of abuse, all forms of battery against women are deplorable and disgusting. ... He's said that multiple times in the past.",1.0,politics,politifact,
"Says after the shooting in El Paso, ""on Sunday, everyone was going to church in America, praying about this, and the next day when their kids went to school, they weren't allowed to pray or bring it up.",1.0,politics,politifact,
mRNA technology in COVID-19 vaccines was never tested in humans.,1.0,politics,politifact,
"In-N-Out cups say ""F--- Joe Biden.",1.0,politics,politifact,
These 'peaceful' protesters burned these horses to death.,1.0,politics,politifact,
Photos show the health ministers of Canada and Los Angeles.,1.0,politics,politifact,
"Says Clint Eastwood called Barack Obama an ""incompetent, lying, insincere, narcissistic, double-talking, socialist hypocrite, and fiscally irresponsible moron who spent eight years in the White House trying to … turn our wonderful country into a Muslim loving, socialist sh--hole like the one he came from, and I don't mean Hawaii!",0.0,politics,politifact,
Klein did not hold a single town hall meeting (on health care) where the general public was invited to ask questions or present their views.,1.0,politics,politifact,
"Under Trump's new tax plan … 99.8% of Americans"" get ""not one nickel"" in tax cuts.",0.0,politics,politifact,
"There comes a point in the last year of the president, especially in their second term, where you stop nominating"" both Supreme Court justices and Court of Appeals judges.",1.0,politics,politifact,
German perverts open bestiality brothels.,1.0,politics,politifact,
"Foxconn hasn't hit job targets on its massive Wisconsin factory because ""No. 1, you had a pandemic.",1.0,politics,politifact,
"If protesters blocking the road ""start banging on your windows, threatening you and trying to get in your vehicle,"" it is legal to ""hit the gas and plow through them.",1.0,politics,politifact,
"ISIS is ""going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.",1.0,politics,politifact,
"A majority of Americans ""since Harry Truman days"" support single-payer health insurance, or ""full Medicare for all.",1.0,politics,politifact,
"Says ""The Simpsons"" predicted the coronavirus.",0.0,politics,politifact,
"President Donald Trump's phone call with the Ukrainian president ""sounds exactly like what Joe Biden did.",1.0,politics,politifact,
"Asks, ""How is this possible?"" with a chart showing that 104.41% of registered voters in North Carolina and 103.56% of registered voters in Wisconsin cast votes.",0.0,politics,politifact,
"If the shot actually saved lives, they'd be priced so high that you literally could not afford them, you know like insulin.",1.0,politics,politifact,
"A company with ""20 employees"" could go ""out of business"" because of health care law requirements to buy insurance.",0.0,politics,politifact,
Pennsylvania is under a court order to count their ballots on election day and not after!!,0.0,politics,politifact,
"If Cory Gardner gets his way, you'd better stock up on condoms.",0.0,politics,politifact,
Joe Biden blamed Elton John for AIDS.,1.0,politics,politifact,
"Says former Sen. Rick Santorum said, ""Sometimes pregnancy is God's way of comforting rape victims.",1.0,politics,politifact,
"CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.",0.0,politics,politifact,
The first so-called second hand information 'Whistleblower' got my phone conversation almost completely wrong.,0.0,politics,politifact,
"At the request of Democrats, it will be a steel barrier rather than a concrete wall.",1.0,politics,politifact,
"The Greenlight Pinellas transportation plan involves a ""300% tax increase.",1.0,politics,politifact,
"Says ""we had to cut 13 billion dollars in state spending over two years.",1.0,politics,politifact,
"Sarah Palin ""has more experience than Barack Obama.",1.0,politics,politifact,
"Quotes President Donald Trump as saying, ""Everybody says I've done a tremendous job with COVID… I think a little gratitude would be nice. Maybe a big 'Thank you Mr. President' is called for.",1.0,politics,politifact,
Says Mark Neumann = Nancy Pelosi,1.0,politics,politifact,
"Lee Zeldin ""missed 2/3rds of Veterans Affairs Hearings",1.0,politics,politifact,
Our credit rating went up since I've been in office.,1.0,politics,politifact,
"If President Trump decides to deploy the U.S. military domestically, he would be ""mobilizing U.S. military troops on American soil for the first time since 1807.",1.0,politics,politifact,
"Says Aftab Pureval is ""lying"" about his office's ""$400,000 projected deficit.",1.0,politics,politifact,
A yearbook photo shows Mark Kelly dressed as Adolf Hitler.,1.0,politics,politifact,
Says Nancy Pelosi's son served on the Burisma board with Hunter Biden.,1.0,politics,politifact,
"Says that if Texas, California and New York all voted for Democratic presidential nominees, ""it would be mathematically impossible for Republicans to elect a president.",1.0,politics,politifact,
"Under the Affordable Care Act, anyone on Medicare who is admitted to a hospital for observation will be responsible for the bill. Medicare won't pay a cent.",0.0,politics,politifact,
Florida passes bill legalizing recreational use of marijuana.,0.0,politics,politifact,
"Says Joe Biden's plan for net-zero emissions ""would instantly shut down all fracking and all mining immediately in Pennsylvania.",1.0,politics,politifact,
"Quotes incoming U.S. Rep. Alexandria Ocasio-Cortez as saying ""under capitalism, man oppresses man. Under socialism, it's the other way around.",0.0,politics,politifact,
As long as I have served . . . This is the first time every single solitary decision has required 60 senators.,1.0,politics,politifact,
"California Gov. Jerry Brown was ""Caught in the Middle of a $60 Billion Corruption Investigation.",0.0,politics,politifact,
These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.,1.0,politics,politifact,
"President Joe Biden ""employed actors to portray Marine guards"" during a Sept. 1 speech.",0.0,politics,politifact,
"State House incumbent Jill Chambers, R-Atlanta, ""personally profits from taxpayer money.",1.0,politics,politifact,
"The Central Falls School system ""spent $100,000 on a time clock.",0.0,politics,politifact,
"Says President Barack Obama's ""own economists say the stimulus cost $278K per job 'created.'",1.0,politics,politifact,
"New York is bombed. At this moment, there are many injured.",0.0,politics,politifact,
"30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money.",0.0,politics,politifact,
We've signed more bills -- and I'm talking about through the legislature -- than any president ever.,1.0,politics,politifact,
"We have (people detained by ICE) that have to be seen within 24 hours, while veterans are seen within months.",1.0,politics,politifact,
Dropped globe in video shows NASA astronauts filming in TV studio.,1.0,politics,politifact,
Says crime statistics show blacks kill 81 percent of white homicide victims.,0.0,politics,politifact,
"North Carolina's health department is ""telling hospitals that if they decide to do elective surgeries, they won't be eligible to receive (protective equipment) from the state.",1.0,politics,politifact,
"When asked about court-packing, Biden's staff immediately escorts the camera out.",1.0,politics,politifact,
Texas man admits kidnapping 79 people.,0.0,politics,politifact,
"Says Joe Biden is ""going to control how much meat you can eat.",0.0,politics,politifact,
"A ""man surpasses Tesla by inventing an electric car that never needs charging.",0.0,politics,politifact,
"Says Maryellen O'Shaughnessy ""accepted campaign cash from indicted politician Jimmy Dimora.",1.0,politics,politifact,
Says Joe Biden and Kamala Harris distrusted COVID-19 vaccines.,1.0,politics,politifact,
"Ted Cruz ""helps run two national organizations that have been leading the push to give amnesty to illegal immigrants.",0.0,politics,politifact,
More people were killed in the United States last year by tainted food than U.S. troops killed in Iraq and Afghanistan since the wars began.,1.0,politics,politifact,
"There were ""76 deaths in three years"" at the Buffalo Psychiatric Center",0.0,politics,politifact,
"Rob Cornilles has been endorsed by 20 local mayors, including Independent, Democratic and Republican.",1.0,politics,politifact,
"Says U.S. Rep. Nancy Pelosi ""is guilty of treason.",1.0,politics,politifact,
"My opponent's plan for people who commit sexual assault, sexual predators, is no jail time.",1.0,politics,politifact,
"Merriam-Webster recently changed its definition of ""anti-vaxxer"" to include people who oppose laws that mandate vaccination.",1.0,politics,politifact,
"Corona is so bad, this guy died twice!",1.0,politics,politifact,
"Tylenol ""ruins your ability to kill"" COVID-19.",1.0,politics,politifact,
"Look, the earmarks have come down significantly, 75 percent.",1.0,politics,politifact,
"Emails show Democrats, Hillary Clinton and George Soros instigated and orchestrated racial protests in Charlottesville by trying to ""control"" and keep people ""desperate.",0.0,politics,politifact,
NASA has discovered a new planet covered with marijuana,0.0,politics,politifact,
A photograph shows members of the U.S. women's soccer team kneeling during the national anthem at the Tokyo Olympics.,1.0,politics,politifact,
"Says CNN said ""Taliban fighters responsibly wearing masks.",1.0,politics,politifact,
Two thirds of the people in Wisconsin strongly disagree with this idea of permanently taking away people's rights to collective bargaining.,1.0,politics,politifact,
Any legislative action that is taken now could very well be rendered completely null and void by the decision of the Supreme Court expected this June.,1.0,politics,politifact,
"Two ""Doomsday Planes"" took flight because of President Donald Trump's COVID-19 diagnosis.",1.0,politics,politifact,
"Mitt Romney ""left Massachusetts $1 billion in debt.",1.0,politics,politifact,
"Clackamas County Commissioners ""approved a re-negotiated agreement to lower the county's contribution to TriMet's Portland-Milwaukie Light Rail project to $19.9 million from $25 million.",1.0,politics,politifact,
There are no similar clips of Newt Gingrich talking about how ineffective President Bush was in trying to control North Korea.,1.0,politics,politifact,
Says Leonardo DiCaprio gave Ukraine $10 million.,1.0,politics,politifact,
I won the majority of the Republican vote in both New Hampshire and South Carolina.,1.0,politics,politifact,
"Those who fail to buy health insurance under ""Obamacare"" face the threat of jail time.",0.0,politics,politifact,
"In 2020, ""250,000 ballots were manufactured"" in Georgia and ""Biden was given win"" by Secretary of State Brad Raffensperger",0.0,politics,politifact,
"Military tribunals start Jan. 20, 2021.",0.0,politics,politifact,
Scientists warn eggs are causing thousands of people to 'suddenly' form blood clots.,1.0,politics,politifact,
Winston Churchill didn't mention the Holocaust in his memoirs because it didn't happen.,0.0,politics,politifact,
"Terry McAuliffe has a campaign sign that says, ""Keep parents out of classrooms.",1.0,politics,politifact,
"Says that Sherrod Brown ""voted to cut Medicare by over $500 billion in order to fund government-run health care.",1.0,politics,politifact,
"We've seen in this last year tremendous things happening, including our unemployment rate come down 2 percentage points.",1.0,politics,politifact,
"Photo shows electric cars that were bought for civil servants in France and then abandoned because ""it was too expensive to replace the batteries.",1.0,politics,politifact,
Democrats and their allies (...) are manufacturing voters.,0.0,politics,politifact,
"Say first grandma Marian Robinson will get a $160,000 annual pension for life when President Barack Obama leaves office.",0.0,politics,politifact,
"Says Texas Education Agency Commissioner Mike Morath is requiring teachers to return to classrooms while ""he has closed his offices at TEA through January.",1.0,politics,politifact,
"Japanese whaling crew eaten alive by killer whales, 16 dead.",0.0,politics,politifact,
"Says Donald Trump ""hasn't broken his promise"" to release his tax returns.",1.0,politics,politifact,
"President Barack Obama's latest executive order ""mandates the apprehension and detention of Americans who merely show signs of 'respiratory illness.'",0.0,politics,politifact,
Says Gov. Rick Perry has never held a private-sector job.,1.0,politics,politifact,
"Ed Gillespie ""would not mention (Donald Trump's) name unless he was condemning him.",1.0,politics,politifact,
"In the Georgia House district that hosted a special election on June 20, ""Trump won by 20+ points.",1.0,politics,politifact,
"The elimination of income and sales taxes in New York is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000",1.0,politics,politifact,
"Jamie Foxx left 'paralyzed and blind' from blood clot in his brain"" after a COVID-19 vaccine injection.",1.0,politics,politifact,
"Obama says America is great, but let's ""try to change it.",0.0,politics,politifact,
"Says ""Barack Obama has gone from blaming George W. Bush to plagiarizing George W. Bush.",1.0,politics,politifact,
Video shows former President Barack Obama sharing how to mislead the public.,1.0,politics,politifact,
"Says Target ended its ""Heroes & Helpers"" program that pairs children with police officers for holiday shopping trips.",1.0,politics,politifact,
"Says the Philadelphia shootings were ""fake"" and that police officers sprayed ""fake blood on themselves.",0.0,politics,politifact,
Moderna patent uncovers horror nanocensor contained in bioweapon.,1.0,politics,politifact,
Says Kelly Loeffler was wearing a wire during the Georgia Senate debate.,0.0,politics,politifact,
Says Vladimir Putin said the West is controlled by Satanic pedophiles.,1.0,politics,politifact,
Says property insurance rates are going up because Rick Scott signed a bill preventing the state from regulating insurance.,1.0,politics,politifact,
Robert Redford Says: Michelle And Barack Obama Should Get Five Years In Prison.,0.0,politics,politifact,
"Scam artists are using Amazon to send people face masks laced with ""something toxic.",1.0,politics,politifact,
"After the White House fast food dinner, Clemson quarterback Trevor Lawrence said the ""coastal elite media"" trashed it ""for not being organic vegan"" and that it was ""a perfect blue collar party.",0.0,politics,politifact,
Says the president of the University of Texas has raised four-year student graduation rates to 75 percent.,1.0,politics,politifact,
"Says Michelle Obama said Florida shooting ""is clearly our president's fault.",0.0,politics,politifact,
Video shows Hillary Clinton popping a brown paper bag during a press conference.,0.0,politics,politifact,
"Says Thomas Jefferson said, ""If serving in an elected office ever becomes a career, corruption will surely follow.",1.0,politics,politifact,
"They didn't allow"" Simone Biles ""to take her ADHD medication.",1.0,politics,politifact,
"On tax inversions, the Wall Street Journal ""surprisingly attacked this tax scheme.",1.0,politics,politifact,
"Trump bailed out Wall Street, but not Main Street.",1.0,politics,politifact,
The people that perpetrated that travesty in San Bernardino had never been to the Middle East.,0.0,politics,politifact,
"Says ""the New York Times wrote about"" Barack Obama wiretapping Donald Trump during the election.",1.0,politics,politifact,
"More than 100,000 women in Texas ""have attempted to self-induce abortion in the past year alone.",1.0,politics,politifact,
Clinton Email: We must destroy Syria for Israel,1.0,politics,politifact,
"We indicted someone in Texas, 1,700 ballots collected from people who could vote, he made them out and voted for the person he wanted to.",1.0,politics,politifact,
"A ""legacy of taxing and borrowing … crippled the economy we inherited two years ago.",1.0,politics,politifact,
"Two forms of fluoride in our drinking water ""are so toxic that the CDC clearly labels these chemicals extremely toxic in both animals and humans.",1.0,politics,politifact,
"Democrats, including President Joe Biden, ""stopped domestic drilling"" for oil, driving gasoline prices higher.",1.0,politics,politifact,
"Italy announced they are changing LGBT Pride month to Family Pride Month,"" in order to ""celebrate traditional families.",1.0,politics,politifact,
Joe Biden just confirmed that he is running for president in 2020 and it has America applauding!,1.0,politics,politifact,
59 people die as pastor gives them dettol to drink in church to prevent coronavirus.,1.0,politics,politifact,
"Foreign Trade Zones allow U.S. ""land to be inhabited by Chinese communists -- communists straight from China! They are to set up little towns and live here.",0.0,politics,politifact,
China threatens to shoot Nancy Pelosi's plane down if she visits Taiwan.,1.0,politics,politifact,
"Donald Trump is recruiting ""excited and enthusiastic MINORITY actors and actresses"" to appear at his campaign rally in Tulsa, Okla.",1.0,politics,politifact,
Eric Schneiderman helped NXIVM sell child sex slaves to the Clintons,0.0,politics,politifact,
A photograph shows KKK members marching at the 1924 Democratic National Convention.,1.0,politics,politifact,
Aileen Cannon has been arrested.,0.0,politics,politifact,
"Says Joe Biden proposed ""killing over 600,000 jobs supported by fracking.",1.0,politics,politifact,
"A Big Boy restaurant sign said Donald Trump ""was right"" when he ""predicted if Biden was elected, you'd see $5, $6 and $7 gas.",1.0,politics,politifact,
"Says photo of man shows ""diseases coming across the border.",1.0,politics,politifact,
"92 percent"" of President Barack Obama's administration has ""never worked outside government.",1.0,politics,politifact,
"Californians pay ""the highest electricity bills"" in the nation.",1.0,politics,politifact,
"Says Bill Gates said, ""We're taking things that are genetically modified organisms, and we're injecting them into little kids' arms"" in the context of the COVID-19 pandemic.",1.0,politics,politifact,
The media called the 2016 election for Hillary Clinton.,1.0,politics,politifact,
I think we came down here (to Florida) one time ... but we weren't actively fundraising here.,1.0,politics,politifact,
All signs seem to point to Hillary (Clinton) laying the groundwork to run for president again.,1.0,politics,politifact,
"The media reported on ""5 TikTok dances you can do to help Ukraine fight Russia.",1.0,politics,politifact,
"If Proposal 3 passes, it would allow children to undergo ""gender-change therapy without parental consent",1.0,politics,politifact,
"Photo shows former President Donald Trump ""dancing with a 13-year-old girl"" on Jeffrey Epstein's private island.",1.0,politics,politifact,
Ukrainian fighter-ace known as the 'Ghost of Kyiv's real name is Samuyil Hyde.,0.0,politics,politifact,
Obama orders ban on Christmas cards to military.,0.0,politics,politifact,
"President Barack Obama ""said at the beginning of the negotiations that the basic approach was to dismantle Iran's nuclear program in exchange for dismantling the sanctions.",1.0,politics,politifact,
Says a series of photos show Iranian rockets being launched toward U.S. air bases in Iraq.,1.0,politics,politifact,
Only one president has ever cut Medicare for seniors in this country . . . Barack Obama.,1.0,politics,politifact,
"You've been tremendously deceived"" by people who say the Earth is not flat.",0.0,politics,politifact,
"Antifa now banging on residents' doors in Seattle, demanding food & supplies. If they don't get it, the house gets vandalized.",1.0,politics,politifact,
Says two of U.S. Rep. Nancy Pelosi's daughters were arrested for smuggling drugs.,0.0,politics,politifact,
"Nevada is ""still a state that is 80 percent white voters.",1.0,politics,politifact,
Says 20 million Chinese converted to Islam after it's proven that the coronavirus doesn't affect Muslims.,0.0,politics,politifact,
Says the new coronavirus vaccines contain toxic ingredients and are more dangerous than getting COVID-19.,0.0,politics,politifact,
I am every year the No.1 pick of all of the law enforcement agencies within Texas.,1.0,politics,politifact,
"The United States ended slavery around the world, and maybe we should get some credit for that, too.",0.0,politics,politifact,
"Says Beto O'Rourke wants ""open borders and wants to take our guns.",1.0,politics,politifact,
"Says Marie Yovanovitch was ""dishonest"" when she claimed under oath that she never personally responded to an email from a Democratic staffer. But ""in fact, it turns out that she did respond.",1.0,politics,politifact,
A photo shows Donald Trump embracing Jeffrey Epstein in the back of a limousine.,0.0,politics,politifact,
Medicare officials have treated Humana and AARP inconsistently on how they can communicate with seniors.,1.0,politics,politifact,
"Says he ""got lobbied"" by a woman with late-stage cancer about vaccinating Texas girls against a virus that can cause cervical cancer.",1.0,politics,politifact,
"Coca-Cola, Ben & Jerry's and other companies support rioting.",1.0,politics,politifact,
I was always labeled as one of the most liberal members of the United States Congress.,1.0,politics,politifact,
"Says Donald Trump ""asserted that immigrants would quote, 'carve you up with a knife'.",1.0,politics,politifact,
"Retired U.S. presidents and members of Congress collect full salaries ""for life.",1.0,politics,politifact,
Bill Clinton's hitman confesses on his deathbed.,0.0,politics,politifact,
"Under a new law, doctors performing drug-induced abortions could be charged if women don't return to them for follow-up care",1.0,politics,politifact,
"Norway decided ""that (the coronavirus) should be treated like other respiratory diseases, such as the flu or cold, because… it is no more dangerous than those mentioned.",1.0,politics,politifact,
"Says GOP U.S. Rep. Sean Duffy of Wisconsin ""voted twice to end Medicare.",0.0,politics,politifact,
"Social science is irrefutable"" that children are better off being raised by a mom and a dad.",1.0,politics,politifact,
Seventy percent of the people living in abject poverty are women.,1.0,politics,politifact,
"Says Anthony Fauci ""wants Americans to get 4 shots per year.",1.0,politics,politifact,
"When [Mitt Romney] was the governor of Massachusetts, he performed 100 — and I'm not sure this number is right, but my mind says it's about 180 gay marriages.",0.0,politics,politifact,
"Document shows that Hunter Biden paid Joe Biden $50,000 a month in rent.",1.0,politics,politifact,
"Says Patrick Henry said, ""The Constitution is not a document for the government to restrain the people: it is an instrument for the people to restrain the government.",1.0,politics,politifact,
"[R]emember, the president proposed eliminating charitable deductions for higher-income taxpayers.",1.0,politics,politifact,
"Says that ""you can't destroy the guns purchased in a (gun) buyback program as the city (of Memphis) wants to do.",1.0,politics,politifact,
James Comey has 50 counts of TREASON. And John Brennan has 48 counts of TREASON.,1.0,politics,politifact,
Ohioans want an end to pay-to-play politics.,1.0,politics,politifact,
Says an image of a pile of needles is from Nancy Pelosi's congressional district in San Francisco.,1.0,politics,politifact,
"Dubious taxpayer-funded stimulus projects in Rhode Island include … $250,000 to provide digital television to the state's inmate population.",1.0,politics,politifact,
Empty store shelves at a Walmart in South Carolina were because of a meat shortage.,1.0,politics,politifact,
"Only about 20%"" of people who apply for asylum qualify for it.",1.0,politics,politifact,
"Scott Walker ""had a 2.3 GPA when he was asked to leave Marquette University for cheating.",1.0,politics,politifact,
Doctors say colon cancer is on the rise due to toxins absorbed while cooking food (in) the microwave.,1.0,politics,politifact,
"As Hurricane Ian approached, President Joe Biden said, ""a vital part of preparing for hurricane season is to get vaccinated now.",1.0,politics,politifact,
Video shows Neil deGrasse Tyson describing how NASA faked the moon landing.,1.0,politics,politifact,
"Says state Rep. Sandy Pasch, her recall opponent, ""voted to allow public school employees to use taxpayer dollars to pick up the tab for…Viagra.",0.0,politics,politifact,
We have invested record funding in protecting our environment.,1.0,politics,politifact,
ADHD does not exist.,1.0,politics,politifact,
The same unhinged leftists cheering last week's shooting are all backing Jon Ossoff.,0.0,politics,politifact,
"The ""average tax"" for billionaires is ""about 3%,"" which is ""a lower tax than a schoolteacher or a firefighter.",1.0,politics,politifact,
More than 20 police officers are dead now because of the riots.,1.0,politics,politifact,
Steve Santarsiero wrote PA's Gun Safety Law.,1.0,politics,politifact,
"Says Wisconsin Senate recall candidate Jessica King ""voted to increase her pay with taxpayer dollars by 63 percent.",0.0,politics,politifact,
"The new Apple Watch Series 4 includes ""the first ECG product offered over-the-counter directly to consumers.",1.0,politics,politifact,
Black Friday originated in 1904 when enslaved people were sold at a discount to boost the economy.,1.0,politics,politifact,
"Says ""for the duration of this recession not a single person in government middle management has lost (a) job or taken a pay cut.",0.0,politics,politifact,
A telecom bill could keep the State Corporation Commission from getting rate-of-return information from electric utilities.,1.0,politics,politifact,
No fracking waste is being dumped in New York State,1.0,politics,politifact,
Scott Walker opposed a plan to help Wisconsin students refinance their student loans.,1.0,politics,politifact,
"Pete Buttigieg's dog and pony show. He gets out of [the] car to ride his bike a few feet, pretending to save energy.",1.0,politics,politifact,
(Bill) Ayers and Obama ran a radical education foundation together.,0.0,politics,politifact,
"Says Bernie Sanders ""only had 3,444 votes"" in Nevada.",1.0,politics,politifact,
"Trump re-signed 1952 law ""making Muslamic law illegal",0.0,politics,politifact,
"UPS left 15,000 employees' spouses ""without health insurance"" and told them to, ""go on an exchange with no employer subsidy.",1.0,politics,politifact,
The CDC finally admits its COVID-19 test can't tell the difference between the virus and the flu,1.0,politics,politifact,
"Says Planned Parenthood founder Margaret Sanger said, ""Slav, Latin and Hebrew immigrants are human weeds . . . a deadweight of human waste. Blacks, soldiers and Jews are a menace to race.",0.0,politics,politifact,
Cal Cunningham has been silent on this on defunding the police; I assume his silence is consent.,1.0,politics,politifact,
"Brazil President Jair Bolsonaro will hold a press conference to ""announce military audit of controversial election, may arrest criminal judges.",1.0,politics,politifact,
Warnings about heart problems and blood clots in cold weather are to cover up COVID-19 vaccine side effects.,1.0,politics,politifact,
Smithsonian admits to destruction of thousands of giant human skeletons in early 1900s.,0.0,politics,politifact,
We have more people working in the state of New Jersey today than we've ever had in our history.,1.0,politics,politifact,
Health care premiums up 90 percent in New Hampshire.,1.0,politics,politifact,
"Trump supporters are blocking access to polling sites at Clifton City Hall, New Jersey.",1.0,politics,politifact,
"Quotes President Jimmy Carter as saying ""If you don't want your tax dollars to help the poor, then stop saying you want a country based on Christian values, because you don't.",1.0,politics,politifact,
"The COVID-19 pandemic was planned, and a 2019 simulation called Event 201 was a rehearsal for it.",1.0,politics,politifact,
Legendary Actor Sidney Poitier: Donald Trump might become 'The Greatest Of All Time.' ,0.0,politics,politifact,
"Says rabid animals from other states carry ""different strains of rabies"" that Florida ""vaccines and serums don't affect.",1.0,politics,politifact,
Gun homicide is down 49 percent in the past 12 years.,1.0,politics,politifact,
"When news broke that Ferguson 18-year-old Michael Brown was a suspect in a robbery, ""MSNBC practically went off the air for a while to have behind-closed-doors meetings to figure out how to deal with this new revelation.",1.0,politics,politifact,
"Says the Medicaid fraud rate in Virginia was ""fact-checked"" and found to be ""0.47 percent.",1.0,politics,politifact,
We won. We won in a landslide. This was a landslide.,0.0,politics,politifact,
"Says a video shared to his social media shows vehicles with broken windows in a parking garage used by state agencies in Texas on ""the same night the City of Austin voted to cut $150 million"" from the police department.",1.0,politics,politifact,
"Before Congress, (Tom) Cotton got paid handsomely working for insurance companies and corporate interests.",1.0,politics,politifact,
The #irandeal ultimately would have guaranteed Iran a nuclear bomb capable of reaching the US.,1.0,politics,politifact,
"By clicking on a link from a fake USPS text message, ""you are sending your precise location to sex traffickers in your local area"" so they can kidnap you.",1.0,politics,politifact,
"Says Malala Yousafzai ""is silent about the cries of women and children suffering at the hands of the Taliban.",1.0,politics,politifact,
"There was no real scientific basis for believing that"" social distancing would be necessary, ""since it had never been studied.",1.0,politics,politifact,
Photo shows Joe Biden asleep at his desk.,1.0,politics,politifact,
"Says Arabic ""is the third most-common language in Austin.",1.0,politics,politifact,
The National Science Foundation spent $1.2 million paying seniors to play World of Warcraft to study the impact it had on their brain.,0.0,politics,politifact,
Says President Trump posted a combative tweet to EA Sports about Colin Kaepernick.,0.0,politics,politifact,
"On Abigail Spanberger: ""She got $2.2 million from ActBlue...That is the George Soros resistance group.",0.0,politics,politifact,
"95-item list of food-destroying incidents demonstrates that ""you are duped if you think they aren't planning a food shortage.",1.0,politics,politifact,
"Electronic voting machines didn't allow people to vote"" in Maricopa County, Arizona.",1.0,politics,politifact,
The FBI took over the investigation into the attack on Paul Pelosi because San Francisco authorities weren't sticking to Nancy Pelosi's talking points.,1.0,politics,politifact,
"He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.'",1.0,politics,politifact,
"This ""footage"" shows Russia attacking Ukraine.",1.0,politics,politifact,
Michigan Governor Gretchen Whitmer bans buying US flags during lockdown.,1.0,politics,politifact,
I know that Hillary on occasion has said — just last year said this (NAFTA) was a boon to the economy.,1.0,politics,politifact,
Subsidies for oil and gas companies make up 88 percent of all federal subsidies. Just cutting the oil and gas subsidies out would save the U.S. government $45 billion every year.,1.0,politics,politifact,
Bay Area liberals have given more to Jon Ossoff's campaign than people in Georgia.,1.0,politics,politifact,
Civil war erupts in Sweden as irate Swedes burn nine Muslim refugee centers to the ground,1.0,politics,politifact,
CDC Director Robert Redfield says healthy people should NOT wear masks.,1.0,politics,politifact,
"White busses marked 'Soros Riot Dance Squad' spotted in Michigan: It's official, the riots are staged.",0.0,politics,politifact,
"Says President Trump's Oct. 31 rally in Butler, Pa., drew over 57,000 people.",1.0,politics,politifact,
Video shows Joe Biden sleeping at the Arab Conference in Saudi Arabia.,1.0,politics,politifact,
"Celine Dion's 16-year-old Rene-Charles Angelil's was among the 58 victims who were killed"" in Las Vegas.",0.0,politics,politifact,
"The Z-visa that was offered in that Senate bill let everybody who's here illegally, other than criminals, stay here for the rest of their lives.",1.0,politics,politifact,
President Obama gave Egypt's Muslim Brotherhood one and a half billion dollars.,1.0,politics,politifact,
"Former President Donald Trump said ""any indictment of me is an indictment of you.",1.0,politics,politifact,
"Says Barack Obama had ""huge majorities"" in Congress during his first two years in office and ""did nothing with them to create jobs in America.",0.0,politics,politifact,
"Wisconsin sold fresh water to California, helping that state's dairy industry, and ""lost a bunch of jobs (and) a bunch of farmland.",0.0,politics,politifact,
The White House was dark for 10 nights in a row.,1.0,politics,politifact,
"If a sealed bag of raw poultry appears ""puffy,"" it means the protein is not safe to consume.",1.0,politics,politifact,
The country's bankrupt.,1.0,politics,politifact,
"The ""federal government is going after school districts, trying to force them to let boys shower with little girls.",1.0,politics,politifact,
"Says Patrick Morrisey undertook ""efforts to put educators in jail.",1.0,politics,politifact,
"COVID-19 cases are ""up only because of our big number testing.",1.0,politics,politifact,
"The Astroworld concert was a ""test run on the vaxxed"" because people who are injected with graphene oxide can be controlled through magnetic frequencies, including music.",1.0,politics,politifact,
"Gov. Charlie Crist ""sought for and got approved the automatic restoration of felon rights for nonviolent offenders for the first time in Florida history.",1.0,politics,politifact,
The Inflation Reduction Act expanded free health insurance to Americans under 65.,1.0,politics,politifact,
The bomb threat near the U.S. Capitol on Aug. 19 was a false flag.,0.0,politics,politifact,
"No, we do not have laws in place protecting babies who are born alive as the result of an abortion.",1.0,politics,politifact,
"Says the KKK marched in Mebane, N.C., after Trump's victory",1.0,politics,politifact,
Video shows people collapsing because of COVID-19 vaccines.,1.0,politics,politifact,
"Scientists tell us that we could have a cure in 10 years for Alzheimer's"" were it not for ""overzealous regulators, excessive taxation and greedy litigators.",0.0,politics,politifact,
Rhode Island's teen binge drinking rate is double the national average.,1.0,politics,politifact,
"New tax increases that went into effect on Jan. 1, 2015, ""all passed under the Affordable Care Act, aka Obamacare.",0.0,politics,politifact,
"Says BLM activist Sasha Johnson tweeted, ""The white man will not be our equal but our slave.",0.0,politics,politifact,
"Both murderers in Texas were not only illegals, but gang members"" and were ""most likely tied to MS-13.",1.0,politics,politifact,
